"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=AFR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:09:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","AFR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.39"
"Records Found","10039"
"Records Returned","10039"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"4451","occ","","","32050","Brabovus nanincisus","species","374469","Pliocene","","5.333","2.588","4451","Zanclean"
"146754","occ","","","12950","Geniohyus magnus","species","143621","Rupelian","","33.9","28.1","4292","Rupelian"
"146755","occ","","","12950","Titanohyrax angustidens","species","100744","Rupelian","","33.9","28.1","4292","Rupelian"
"146756","occ","","","12950","Saghatherium humarum","species","100745","Rupelian","","33.9","28.1","4292","Rupelian"
"146757","occ","","","12950","Selenohyrax chatrathi","species","100747","Rupelian","","33.9","28.1","4292","Rupelian"
"146758","occ","","","12950","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","4292","Rupelian"
"146783","occ","","","12956","Pachyhyrax crassidentatus","species","143626","Rupelian","","33.9","28.1","4292","Rupelian"
"146784","occ","","","12954","Pachyhyrax crassidentatus","species","143626","Rupelian","","33.9","28.1","4292","Rupelian"
"146813","occ","","","12960","Pachyhyrax crassidentatus","species","143626","Rupelian","","33.9","28.1","4292","Rupelian"
"146841","occ","","","12964","Thyrohyrax pygmaeus","species","143627","Rupelian","","33.9","28.1","4292","Rupelian"
"146871","occ","","","12968","Thyrohyrax","genus","43307","Rupelian","","33.9","28.1","4292","Rupelian"
"146872","occ","","","12969","Titanohyrax angustidens","species","100744","Rupelian","","33.9","28.1","4292","Rupelian"
"147941","occ","","","12964","Thyrohyrax","genus","43307","Rupelian","","33.9","28.1","4292","Rupelian"
"147942","occ","","","12954","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","59770","Rupelian"
"147943","occ","","","12956","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","4292","Rupelian"
"147944","occ","","","12960","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","59770","Rupelian"
"147945","occ","","","12969","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","4292","Rupelian"
"147946","occ","","","12954","Titanohyrax angustidens","species","100744","Rupelian","","33.9","28.1","4292","Rupelian"
"148007","occ","","","13071","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","4292","Rupelian"
"148008","occ","","","13070","Thyrohyrax domorictus","species","143634","Rupelian","","33.9","28.1","4292","Rupelian"
"148361","occ","","","13101","Eosiren imenti","species","53159","Rupelian","","33.9","28.1","6023","Rupelian"
"148363","occ","","","13102","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","Priabonian"
"148364","occ","","","13102","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026","Priabonian"
"148365","occ","19615","","13103","Dorudon atrox","species","62994","Priabonian","","38","33.9","10457","Priabonian"
"150827","occ","","","13103","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","Priabonian"
"150828","occ","","","13402","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","Priabonian"
"150829","occ","","","13402","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026","Priabonian"
"150830","occ","","","13403","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","Priabonian"
"150831","occ","","","13403","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026","Priabonian"
"154250","occ","","","28618","Equus","genus","42996","Early Pleistocene","","2.588","0.781","7837","Calabrian"
"161532","occ","","","14243","Homo sapiens","species","83088","Late Pleistocene","","0.126","0.0117","6297","Late Pleistocene"
"211986","occ","","","21279","Gazella","genus","42774","Gelasian","","2.588","1.806","4454","Gelasian"
"211987","occ","","","21281","Gazella","genus","42774","Gelasian","","2.588","1.806","4454","Gelasian"
"211990","occ","","","21287","Equus","genus","42996","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"211991","occ","","","21287","Thryonomys","genus","42027","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"211992","occ","","","21287","Gazella","genus","42774","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"211993","occ","","","21287","Pelorovis","genus","42829","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"211994","occ","","","21287","Hystrix","genus","42010","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"211995","occ","","","21287","Tatera","genus","41882","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"211998","occ","","","21287","Connochaetes","genus","133829","Late Pliocene","Early Pleistocene","3.6","0.781","4488","-"
"212000","occ","","","21291","Equus","genus","42996","Late Pliocene","Early Pleistocene","3.6","0.781","4454","-"
"212001","occ","","","21291","Pelorovis","genus","42829","Late Pliocene","Early Pleistocene","3.6","0.781","4454","-"
"212003","occ","","","21293","Equus","genus","42996","Late Pliocene","Early Pleistocene","3.6","0.781","4454","-"
"212004","occ","","","21293","Gazella","genus","42774","Late Pliocene","Early Pleistocene","3.6","0.781","4454","-"
"212005","occ","","","21294","Giraffa","genus","42695","Calabrian","","1.806","0.781","4454","Calabrian"
"212007","occ","","","21294","Equus","genus","42996","Calabrian","","1.806","0.781","4454","Calabrian"
"212008","occ","","","21294","Gazella","genus","42774","Calabrian","","1.806","0.781","4454","Calabrian"
"212009","occ","","","21294","Damaliscus","genus","42764","Calabrian","","1.806","0.781","4454","Calabrian"
"212010","occ","","","21294","Pelorovis","genus","42829","Calabrian","","1.806","0.781","4454","Calabrian"
"212011","occ","","","21294","Tragelaphus","genus","42885","Calabrian","","1.806","0.781","4454","Calabrian"
"212012","occ","","","21294","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4454","Calabrian"
