"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=ASI&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","ASI"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.34"
"Records Found","7890"
"Records Returned","7890"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"138385","occ","","","11740","Rostriamynodon grangeri","species","116199","Middle Eocene","","48.6","37.2","4180","Lutetian"
"138725","occ","","","11796","Ellobius","genus","41765","Late Pliocene","","3.6","2.588","4194","Piacenzian"
"138727","occ","","","11796","Villanyia","genus","67890","Late Pliocene","","3.6","2.588","4194","Piacenzian"
"138728","occ","","","11796","Mimomys","genus","41812","Late Pliocene","","3.6","2.588","4194","Piacenzian"
"138729","occ","","","11796","Proochotona","genus","366014","Late Pliocene","","3.6","2.588","4194","Piacenzian"
"138732","occ","","","11797","Listriodon","genus","42395","MN 6","MN 7 + 8","13.65","11.1","4195","Serravallian"
"138733","occ","","","11797","Conohyus sindiensis","species","105496","MN 6","MN 7 + 8","13.65","11.1","4195","Serravallian"
"138734","occ","13157","","11797","Listriodon","genus","42395","MN 6","MN 7 + 8","13.65","11.1","13624","Serravallian"
"138735","occ","","","11798","Lufengpithecus lufengensis","species","385523","Turolian","","8.7","5.333","4196","Messinian"
"138736","occ","","","11798","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11394","Messinian"
"138737","occ","","","11798","Indarctos atticus","species","90196","Turolian","","8.7","5.333","11437","Messinian"
"138738","occ","","","11798","Protursus","genus","116932","Turolian","","8.7","5.333","11437","Messinian"
"138740","occ","","","11798","Proputorius","genus","41163","Turolian","","8.7","5.333","11437","Messinian"
"138741","occ","","","11798","Sivaonyx","genus","41169","Turolian","","8.7","5.333","11437","Messinian"
"138742","occ","","","11798","Lutra","genus","41122","Turolian","","8.7","5.333","11437","Messinian"
"138743","occ","","","11798","Ictitherium","genus","41026","Turolian","","8.7","5.333","11437","Messinian"
"138747","occ","","","11798","Zygolophodon","genus","95509","Turolian","","8.7","5.333","10885","Messinian"
"138749","occ","","","11798","Chilotherium","genus","43196","Turolian","","8.7","5.333","10883","Messinian"
"138750","occ","","","11798","Aceratherium","genus","43188","Turolian","","8.7","5.333","10883","Messinian"
"138751","occ","","","11798","Macrotherium","genus","43083","Turolian","","8.7","5.333","10883","Messinian"
"138752","occ","","","11798","Tapirus","genus","43137","Turolian","","8.7","5.333","10883","Messinian"
"138753","occ","","","11798","Hyotherium","genus","42391","Turolian","","8.7","5.333","11438","Messinian"
"138755","occ","","","11798","Lophochoerus","genus","42396","Turolian","","8.7","5.333","11438","Messinian"
"138756","occ","","","11798","Potamochoerus","genus","42406","Turolian","","8.7","5.333","11438","Messinian"
"138758","occ","","","11798","Dorcabune","genus","42599","Turolian","","8.7","5.333","4196","Messinian"
"138759","occ","","","11798","Yunnanotherium simplex","species","352950","Turolian","","8.7","5.333","4196","Messinian"
"138760","occ","","","11798","Moschus","genus","42648","Turolian","","8.7","5.333","11438","Messinian"
"138761","occ","","","11798","Dicrocerus","genus","42668","Turolian","","8.7","5.333","11438","Messinian"
"138763","occ","","","11798","Metacervulus","genus","42679","Turolian","","8.7","5.333","11438","Messinian"
"138765","occ","","","11798","Muntiacus","genus","42680","Turolian","","8.7","5.333","11438","Messinian"
"138767","occ","","","11798","Selenoportax","genus","42860","Turolian","","8.7","5.333","11438","Messinian"
"138769","occ","","","11798","Galerix","genus","40376","Turolian","","8.7","5.333","11436","Messinian"
"138774","occ","","","11798","Blarinella","genus","40458","Turolian","","8.7","5.333","11436","Messinian"
"138776","occ","","","11798","Anourosorex","genus","40452","Turolian","","8.7","5.333","11436","Messinian"
"138779","occ","","","11798","Myotis","genus","40678","Turolian","","8.7","5.333","11436","Messinian"
"138780","occ","","","11798","Eptesicus","genus","40671","Turolian","","8.7","5.333","11436","Messinian"
"138781","occ","","","11798","Pipistrellus","genus","40683","Turolian","","8.7","5.333","11436","Messinian"
