"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=ASI&show=class"
"Access Time","Fri 2021-07-02 05:12:54 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","ASI"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class"
"Elapsed Time","1.87"
"Records Found","5284"
"Records Returned","5284"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"138385","occ","","","11740","n. gen. Rostriamynodon n. sp. grangeri","species","116199","","Rostriamynodon grangeri","species","116199","Middle Eocene","","48.6","37.2","4180","Chordata","Mammalia","Perissodactyla","Amynodontidae","Rostriamynodon"
"138733","occ","","","11797","Conohyus sindiense","species","105501","misspelling of, recombined as","Conohyus sindiensis","species","105496","MN 6","MN 7 + 8","13.65","11.1","4195","Chordata","Mammalia","Artiodactyla","Suidae","Conohyus"
"138735","occ","","","11798","Lufengpithecus lufengensis","species","385523","","Lufengpithecus lufengensis","species","385523","Tortonian","","11.62","7.246","4196","Chordata","Mammalia","Primates","Hominidae","Lufengpithecus"
"138736","occ","","","11798","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Tortonian","","11.62","7.246","11394","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"138737","occ","","","11798","Indarctos sinensis","species","90198","subjective synonym of","Indarctos atticus","species","90196","Tortonian","","11.62","7.246","11437","Chordata","Mammalia","Carnivora","Ursidae","Indarctos"
"138741","occ","","","11798","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Tortonian","","11.62","7.246","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"138759","occ","","","11798","Yunnanotherium simplex","species","352950","","Yunnanotherium simplex","species","352950","Tortonian","","11.62","7.246","4196","Chordata","Mammalia","Artiodactyla","Tragulidae","Yunnanotherium"
"138824","occ","","","11799","Hipparion gracile","species","432905","subjective synonym of","Hipparion depereti","species","432904","Late Miocene","Early Pliocene","11.608","3.6","4198","Chordata","Mammalia","Perissodactyla","Equidae","Hipparion"
"138831","occ","","","11800","Sivapithecus indicus","species","133688","","Sivapithecus indicus","species","133676","Late Miocene","","11.608","5.333","4199","Chordata","Mammalia","Primates","Hominidae","Sivapithecus"
"138837","occ","","","11803","Dama mesopotamica","species","149388","","Dama mesopotamica","species","149388","Late Pleistocene","","0.126","0.0117","10604","Chordata","Mammalia","Artiodactyla","Cervidae","Dama"
"138839","occ","","","11803","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","10604","Chordata","Mammalia","Perissodactyla","Equidae","Equus (Hemionus)"
"138841","occ","","","11803","Hippopotamus amphibius","species","77338","","Hippopotamus amphibius","species","77338","Late Pleistocene","","0.126","0.0117","10604","Chordata","Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus"
"138842","occ","","","11803","Cervus elaphus","species","45017","","Cervus elaphus","species","45017","Late Pleistocene","","0.126","0.0117","10604","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus"
"138843","occ","","","11803","Capreolus capreolus","species","149382","","Capreolus capreolus","species","104248","Late Pleistocene","","0.126","0.0117","10604","Chordata","Mammalia","Artiodactyla","Cervidae","Capreolus"
"138844","occ","","","11803","Myotis cf. baranensis","species","376826","","Myotis baranensis","species","376826","Late Pleistocene","","0.126","0.0117","10604","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"147938","occ","","","13064","n. gen. Basiloterus n. sp. hussaini","species","53165","","Basiloterus hussaini","species","53165","Bartonian","","41.3","38","6010","Chordata","Mammalia","Cetacea","Basilosauridae","Basiloterus"
"148356","occ","","","13096","Microcetus n. sp. sharkovi","species","53137","","Microcetus sharkovi","species","53137","Chattian","","28.1","23.03","4365","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Microcetus"
"150050","occ","","","13293","Capricornis sumatraensis","species","149670","","Capricornis sumatraensis","species","149670","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Artiodactyla","Bovidae","Capricornis"
"150052","occ","","","13293","Cervus unicolor","species","149436","","Cervus unicolor","species","149436","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus"
"150053","occ","","","13293","Muntiacus cf. reevesi","species","149402","","Muntiacus reevesi","species","149401","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus"
"150054","occ","","","13293","Sus scrofa","species","104172","","Sus scrofa","species","104172","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Artiodactyla","Suidae","Sus"
"150055","occ","","","13293","Rhinoceros sinensis","species","438869","","Rhinoceros sinensis","species","438869","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros"
"150056","occ","","","13293","Megatapirus augustus","species","192846","obsolete variant of","Tapirus (Megatapirus) augustus","species","192846","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Perissodactyla","Tapiridae","Tapirus (Megatapirus)"
"150060","occ","","","13293","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Felidae","Panthera"
"150061","occ","","","13293","Panthera tigris","species","90651","","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Felidae","Panthera"
"150062","occ","","","13293","Crocuta crocuta","species","53881","","Crocuta crocuta","species","232133","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta"
"150063","occ","","","13293","Paguma larvata","species","232934","","Paguma larvata","species","232933","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Viverridae","Paguma"
"150064","occ","","","13293","Herpestes cf. urva","species","240142","","Herpestes urva","species","240141","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Herpestidae","Herpestes"
"150065","occ","","","13293","Viverra cf. zibetha","species","104163","","Viverra zibetha","species","104163","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Viverridae","Viverra"
"150066","occ","","","13293","Lutra cf. lutra","species","157463","","Lutra lutra","species","104165","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Mustelidae","Lutra"
"150067","occ","","","13293","Arctonyx collaris","species","157496","","Arctonyx collaris","species","157496","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Mustelidae","Arctonyx"
"150068","occ","","","13293","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Ursidae","Ursus"
"150069","occ","","","13293","Ailuropoda melanoleuca","species","104016","","Ailuropoda melanoleuca","species","104015","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda"
"150072","occ","","","13293","Rattus rattus","species","232003","","Rattus rattus","species","104204","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Rodentia","Muridae","Rattus"
"150073","occ","","","13293","Mus musculus","species","104205","","Mus musculus","species","104205","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Rodentia","Muridae","Mus"
"150076","occ","","","13293","Pongo pygmaeus","species","183261","","Pongo pygmaeus","species","232338","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Primates","Hominidae","Pongo"
