"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=AUS&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:09:28 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","AUS"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","0.367"
"Records Found","1861"
"Records Returned","1861"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"212978","occ","","","21688","Rattus","genus","41923","Holocene","","0.0117","0","4789","Holocene"
"212979","occ","","","21688","Petauroides volans","species","247841","Holocene","","0.0117","0","4789","Holocene"
"212980","occ","","","21688","Melomys","genus","92492","Holocene","","0.0117","0","4789","Holocene"
"212982","occ","","","21688","Antechinus flavipes","species","247139","Holocene","","0.0117","0","4789","Holocene"
"212983","occ","","","21688","Antechinus stuartii","species","234443","Holocene","","0.0117","0","4789","Holocene"
"212984","occ","","","21688","Planigale maculata","species","234452","Holocene","","0.0117","0","4789","Holocene"
"212985","occ","","","21688","Sminthopsis","genus","40100","Holocene","","0.0117","0","4789","Holocene"
"212986","occ","","","21688","Lagorchestes","genus","40152","Holocene","","0.0117","0","4789","Holocene"
"212987","occ","","","21688","Macropus (Notamacropus) agilis","species","162531","Holocene","","0.0117","0","4789","Holocene"
"212988","occ","","","21688","Macropus (Osphranter) antilopinus","species","162516","Holocene","","0.0117","0","4789","Holocene"
