"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=EUR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:08 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","EUR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.63"
"Records Found","17723"
"Records Returned","17723"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"117264","occ","","","9070","Dichodon cervinus","species","347778","Late Eocene","","37.2","33.9","11154","Priabonian"
"117265","occ","","","9070","Treposciurus","genus","41996","Late Eocene","","37.2","33.9","11154","Priabonian"
"117266","occ","","","9070","Cynodictis lacustris","species","349281","Late Eocene","","37.2","33.9","11154","Priabonian"
"117267","occ","","","41665","Saturninia gracilis","species","56680","Late Eocene","","37.2","33.9","11154","Priabonian"
"117268","occ","","","41665","Suevosciurus fraasi","species","57356","Late Eocene","","37.2","33.9","11154","Priabonian"
"117269","occ","","","41665","Eotalpa anglica","species","350488","Late Eocene","","37.2","33.9","11154","Priabonian"
"117272","occ","","","41665","Schizogliravus daamsi","species","91042","Late Eocene","","37.2","33.9","11154","Priabonian"
"117273","occ","","","41665","Bransatoglis bahloi","species","91044","Late Eocene","","37.2","33.9","11154","Priabonian"
"117274","occ","","","41665","Heterohyus nanus","species","92326","Late Eocene","","37.2","33.9","11154","Priabonian"
"117277","occ","","","39264","Diplobune","genus","196726","Late Eocene","","37.2","33.9","11154","Priabonian"
"117278","occ","","","39264","Palaeotherium curtum","species","374365","Late Eocene","","37.2","33.9","11154","Priabonian"
"117279","occ","","","39264","Xiphodon","genus","42568","Late Eocene","","37.2","33.9","11154","Priabonian"
"117280","occ","","","39264","Anchilophus","genus","67499","Late Eocene","","37.2","33.9","11154","Priabonian"
"117281","occ","","","39264","Palaeotherium duvali","species","109632","Late Eocene","","37.2","33.9","11154","Priabonian"
"117283","occ","","","39264","Tarnomys","genus","41993","Late Eocene","","37.2","33.9","11154","Priabonian"
"117284","occ","","","9071","Dichobune leporina","species","347535","Late Eocene","","37.2","33.9","11154","Priabonian"
