"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=EUR&show=class,timebins,acconly"
"Access Time","Thu 2021-07-01 18:01:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","EUR"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class,timebins,acconly"
"Elapsed Time","2.17"
"Records Found","12426"
"Records Returned","12426"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","time_bins"
"117264","occ","","","9070","Dichodon cervinus","species","347778","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Artiodactyla","Xiphodontidae","Dichodon","Priabonian"
"117266","occ","","","9070","Cynodictis lacustris","species","349281","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Carnivora","Canidae","Cynodictis","Priabonian"
"117267","occ","","","41665","Saturninia gracilis","species","56680","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","NO_ORDER_SPECIFIED","Nyctitheriidae","Saturninia","Priabonian"
"117268","occ","","","41665","Suevosciurus fraasi","species","57356","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Rodentia","Theridomyidae","Suevosciurus","Priabonian"
"117269","occ","","","41665","Eotalpa anglica","species","350488","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Eotalpa","Priabonian"
"117271","occ","","","41665","Stehlinia gracilis","species","136294","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Chiroptera","Vespertilionidae","Stehlinia","Priabonian"
"117272","occ","","","41665","Schizogliravus daamsi","species","91042","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Rodentia","Gliridae","Schizogliravus","Priabonian"
"117273","occ","","","41665","Bransatoglis bahloi","species","91044","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Rodentia","Gliridae","Bransatoglis","Priabonian"
"117274","occ","","","41665","Heterohyus nanus","species","92326","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","NO_ORDER_SPECIFIED","Apatemyidae","Heterohyus","Priabonian"
"117278","occ","","","39264","Palaeotherium curtum","species","374365","Late Eocene","","37.2","33.9","11154","Chordata","Mammalia","Perissodactyla","Palaeotheriidae","Palaeotherium","Priabonian"
