"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=lump_genus&idqual=genus_certain&interval=Paleocene,Holocene&cc=SOA&show=acconly"
"Access Time","Sat 2020-04-11 01:09:45 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","lump_genus"
"","idqual","genus_certain"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.02"
"Records Found","6462"
"Records Returned","6462"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"146873","occ","","","12970","Lambdaconus","genus","77069","Late Miocene","","11.608","5.333","4293"
"146874","occ","","","12971","Lambdaconus","genus","77069","Miocene","","23.03","5.333","4293"
"146875","occ","","","12972","Lambdaconus","genus","77069","Miocene","","23.03","5.333","4293"
"146876","occ","","","12973","Prothoatherium","genus","43486","Miocene","","23.03","5.333","4293"
"146877","occ","","","12974","Lambdaconus","genus","77069","Miocene","","23.03","5.333","4293"
"146878","occ","","","12975","Lambdaconus","genus","77069","Miocene","","23.03","5.333","4293"
"148252","occ","","","13081","Proargyrolagus","genus","40049","Deseadan","","29","21","4304"
"150832","occ","","","13404","Metaxytherium","genus","36890","Early Miocene","Middle Miocene","23.03","11.608","6027"
"151589","occ","","","13501","Roberthoffstetteria","genus","139783","Danian","","66","61.6","6116"
"151592","occ","","","13502","Xenocardia","genus","389265","Early Pliocene","","5.333","3.6","6118"
"151593","occ","","","13503","Phugatherium","genus","131380","Montehermosan","","6.8","4","6117"
"151808","occ","31109","","13522","Phugatherium","genus","131380","Tortonian","","11.62","7.246","54852"
"153675","occ","29843","","13626","Chironectes","genus","39954","Tortonian","","11.62","7.246","50741"
"153693","occ","","","13907","Leopardus","genus","41057","Uquian","","3","1.2","6166"
"153694","occ","","","13630","Aotus","genus","92614","Friasian","","16.3","15.5","29405"
"153782","occ","","","13650","Nanoastegotherium","genus","279972","Friasian","","16.3","15.5","6139"
"153785","occ","","","13651","Proeuphractus","genus","43551","Tertiary","Huayquerian","66","6.8","6186"
"153787","occ","","","13653","Nanoastegotherium","genus","279972","Friasian","","16.3","15.5","6139"
"154249","occ","","","13678","Anadasypus","genus","279970","Friasian","","16.3","15.5","6139"
"154251","occ","","","13680","Anadasypus","genus","279970","Friasian","","16.3","15.5","6139"
"154252","occ","","","13681","Anadasypus","genus","279970","Friasian","","16.3","15.5","6139"
"154253","occ","","","13682","Anadasypus","genus","279970","Friasian","","16.3","15.5","6139"
"154254","occ","","","13683","Pedrolypeutes","genus","265913","Middle Miocene","","15.97","11.608","6139"
"154255","occ","","","13684","Pedrolypeutes","genus","265913","Friasian","","16.3","15.5","6139"
"154256","occ","","","13685","Pedrolypeutes","genus","265913","Friasian","","16.3","15.5","6139"
"154257","occ","","","13686","Pedrolypeutes","genus","265913","Friasian","","16.3","15.5","6139"
"154258","occ","","","13686","Boreostemma","genus","197861","Friasian","","16.3","15.5","6139"
"154259","occ","","","13687","Pedrolypeutes","genus","265913","Friasian","","16.3","15.5","6139"
"154677","occ","","","13739","Pedrolypeutes","genus","265913","Friasian","","16.3","15.5","6139"
"154706","occ","","","13740","Neoglyptatelus","genus","188863","Friasian","","16.3","15.5","6139"
"154720","occ","","","13741","Neoglyptatelus","genus","188863","Friasian","","16.3","15.5","6139"
"154737","occ","","","13743","Neoglyptatelus","genus","188863","Friasian","","16.3","15.5","6139"
"154813","occ","","","13747","Neoglyptatelus","genus","188863","Friasian","","16.3","15.5","6139"
