"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleocene,Holocene&cc=SOA&show=timebins,acconly"
"Access Time","Sun 2020-04-12 23:31:27 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","1.7"
"Records Found","5201"
"Records Returned","5201"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"146873","occ","","","12970","Lambdaconus colombianus","species","355895","Late Miocene","","11.608","5.333","4293","Tortonian"
"146874","occ","","","12971","Lambdaconus colombianus","species","355895","Miocene","","23.03","5.333","4293","-"
"146875","occ","","","12972","Lambdaconus colombianus","species","355895","Miocene","","23.03","5.333","4293","-"
"146877","occ","","","12974","Lambdaconus colombianus","species","355895","Miocene","","23.03","5.333","4293","-"
"146878","occ","","","12975","Lambdaconus colombianus","species","355895","Miocene","","23.03","5.333","4293","-"
"148252","occ","","","13081","Proargyrolagus bolivianus","species","245992","Deseadan","","29","21","4304","Chattian"
"150832","occ","","","13404","Metaxytherium crataegense","species","71179","Early Miocene","Middle Miocene","23.03","11.608","6027","-"
"151589","occ","","","13501","Roberthoffstetteria nationalgeographica","species","139784","Danian","","66","61.6","6116","Danian"
"151592","occ","","","13502","Xenocardia diversidens","species","389266","Early Pliocene","","5.333","3.6","6118","Zanclean"
"151593","occ","","","13503","Phugatherium cataclisticum","species","279739","Montehermosan","","6.8","4","6117","Messinian"
"151808","occ","31109","","13522","Phugatherium cataclisticum","species","279739","Tortonian","","11.62","7.246","54852","Tortonian"
"153693","occ","","","13907","Leopardus vorohuensis","species","100309","Uquian","","3","1.2","6166","-"
"153694","occ","","","13630","Aotus dindensis","species","143115","Friasian","","16.3","15.5","29405","Langhian"
"153782","occ","","","13650","Nanoastegotherium prostatum","species","279973","Friasian","","16.3","15.5","6139","Langhian"
"153785","occ","","","13651","Proeuphractus limpidus","species","247978","Tertiary","Huayquerian","66","6.8","6186","-"
"153787","occ","","","13653","Nanoastegotherium prostatum","species","279973","Friasian","","16.3","15.5","6139","Langhian"
"154249","occ","","","13678","Anadasypus hondanus","species","279971","Friasian","","16.3","15.5","6139","Langhian"
"154251","occ","","","13680","Anadasypus hondanus","species","279971","Friasian","","16.3","15.5","6139","Langhian"
"154252","occ","","","13681","Anadasypus hondanus","species","279971","Friasian","","16.3","15.5","6139","Langhian"
"154253","occ","","","13682","Anadasypus hondanus","species","279971","Friasian","","16.3","15.5","6139","Langhian"
"154254","occ","","","13683","Pedrolypeutes praecursor","species","265914","Middle Miocene","","15.97","11.608","6139","Serravallian"
"154255","occ","","","13684","Pedrolypeutes praecursor","species","265914","Friasian","","16.3","15.5","6139","Langhian"
"154256","occ","","","13685","Pedrolypeutes praecursor","species","265914","Friasian","","16.3","15.5","6139","Langhian"
"154257","occ","","","13686","Pedrolypeutes praecursor","species","265914","Friasian","","16.3","15.5","6139","Langhian"
"154258","occ","","","13686","Boreostemma gigantea","species","279975","Friasian","","16.3","15.5","6139","Langhian"
"154259","occ","","","13687","Pedrolypeutes praecursor","species","265914","Friasian","","16.3","15.5","6139","Langhian"
"154677","occ","","","13739","Pedrolypeutes praecursor","species","265914","Friasian","","16.3","15.5","6139","Langhian"
"154706","occ","","","13740","Neoglyptatelus originalis","species","279974","Friasian","","16.3","15.5","6139","Langhian"
"154720","occ","","","13741","Neoglyptatelus originalis","species","279974","Friasian","","16.3","15.5","6139","Langhian"
"154737","occ","","","13743","Neoglyptatelus originalis","species","279974","Friasian","","16.3","15.5","6139","Langhian"
"154813","occ","","","13747","Neoglyptatelus originalis","species","279974","Friasian","","16.3","15.5","6139","Langhian"
"154814","occ","","","13749","Neoglyptatelus originalis","species","279974","Friasian","","16.3","15.5","6139","Langhian"
"154853","occ","","","13750","Boreostemma gigantea","species","279975","Friasian","","16.3","15.5","6139","Langhian"
"154864","occ","","","13754","Boreostemma gigantea","species","279975","Friasian","","16.3","15.5","6139","Langhian"
"154873","occ","","","13757","Boreostemma gigantea","species","279975","Friasian","","16.3","15.5","6139","Langhian"
"154874","occ","","","13758","Boreostemma gigantea","species","279975","Friasian","","16.3","15.5","6139","Langhian"
"154973","occ","","","13775","Indalecia grandensis","species","334567","Middle Eocene","","48.6","37.2","6148","Lutetian"
"154992","occ","","","13779","Patene coluapiensis","species","99576","Middle Eocene","","48.6","37.2","6147","Lutetian"
"154997","occ","","","13780","Carodnia feruglioi","species","99651","Middle Paleocene","","61.7","58.7","6147","Selandian"
